model_name,win_rate,skill_score,median_training_time_s,median_inference_time_s,training_corpus_overlap,num_failures,MAE,MSE,RMSE,MAE_ex_covid,MSE_ex_covid,RMSE_ex_covid
ensemble_avg_top3,0.7916666666666666,-0.11366592423861843,0.0,0.0356183719122782,0.0,0,3.932237567560069,82.95700439188539,9.108073582920012,1.7395935876522817,5.764225308361405,2.400880111201183
local_trend_ssm,0.9166666666666666,-0.06404986642736343,0.0,6.208432627026923,0.0,0,3.865146203879589,75.72986130043506,8.702290577798184,1.7881099435111514,5.88151112470653,2.425182699242787
mean,0.9583333333333334,-0.10088471280702405,0.0,0.7512325801653787,0.0,0,3.822362034267411,81.06378548634474,9.003542940773078,1.6615753061109315,5.916918106884703,2.432471604538212
auto_arima,0.875,-0.08029858569922865,0.0,6.442671961849555,0.0,0,3.8952008901826263,78.06040737074632,8.835180098376394,1.7832861451787878,5.962858273841012,2.441896450269956
ar4,0.8333333333333334,-0.08110497062258659,0.0,0.8458958311239257,0.0,0,3.9282258629227194,78.17698667507698,8.841775086207349,1.8185801424838728,6.096497103527791,2.46910856454871
lstm_univariate,0.7083333333333334,-0.0934046831186226,0.0,17.120955378981307,0.0,0,3.935279333385928,79.96594201316552,8.942367807978238,1.800481691404625,6.3669202020655575,2.523275688874594
auto_ets,0.75,-0.0945373205735025,0.0,1.3984401691704988,0.0,0,3.933869955601805,80.13169826714208,8.951631039488953,1.798393324866392,6.482957908256728,2.546165334037978
lstm_multivariate,0.5416666666666666,-0.15359178670969142,0.0,15.397007458028384,0.0,0,4.105520438531349,89.01178473627179,9.434605701155284,1.8427027960618336,6.548493165186699,2.559002376940416
chronos2,0.5,-0.16422387182261744,0.0,22.12036295584403,0.0,0,4.14966236825647,90.66010096841372,9.521559797029775,1.8646011142819017,6.566395499740041,2.562497902387442
theta,0.5833333333333334,-0.09389407088803647,0.0,0.6533894602907822,0.0,0,3.970710038322494,80.03754059419006,8.946370246876107,1.8410305513111125,6.6002278535645456,2.5690908612901464
random_forest,0.4583333333333333,-0.17508626601097177,0.0,4.3542811224469915,0.0,0,4.364418004647066,92.3597394688809,9.610397466748235,2.08031851781861,7.270924558853634,2.696465197041051
naive_last,0.6666666666666666,0.0,0.0,0.7572862907545641,0.0,0,3.9589180676103353,66.88722806656025,8.1784612285295,2.086746679248009,8.447851640170335,2.9065188181345625
drift,0.625,0.00033578255086497144,0.0,0.7566438743378967,0.0,0,3.961472606755784,66.842316479969,8.175715043956034,2.090639049567258,8.461400513525517,2.9088486577210437
mixed_freq_dfm_md,0.25,-0.251241957509692,0.0,1.89475562190637,0.0,0,4.689860936538367,104.71907476277028,10.233233837002372,2.275992252349362,8.686769417112439,2.9473325935687065
bvar_minnesota_20,0.2916666666666667,-0.3685186105095215,0.0,0.7451795000815764,0.0,0,4.671221367245908,125.26928940256848,11.192376396573184,2.011932897850261,8.982747343565512,2.997123177910029
bvar_minnesota_growth_20,0.3333333333333333,-0.3683662545691133,0.0,0.7549778769025579,0.0,0,4.6711756000775555,125.24139872156826,11.19113035942162,2.012241542221768,8.989316806499891,2.9982189390536327
bvar_minnesota_8,0.375,-0.34827173741246553,0.0,0.6919133329065517,0.0,0,4.542325582536941,121.5900564628052,11.026788129949956,1.9130802605912984,9.090195313463587,3.0149950768556137
bvar_minnesota_growth_8,0.4166666666666667,-0.34816292981605845,0.0,0.6997167078079656,0.0,0,4.542255992754424,121.57043224672752,11.02589825124137,1.9132757599581376,9.09586194553971,3.0159346719615314
xgboost,0.1666666666666666,-0.5099124705473532,0.0,42.799681791104376,0.0,0,4.963066917041252,152.49188832757977,12.348760598844718,2.032166708398748,9.579233407902295,3.0950336682986657
random_normal,0.125,-0.1924677967514956,0.0,0.7568455850705504,0.0,0,5.0385893677413005,95.11226352991795,9.752551642002103,2.8349237704854997,11.972984772268209,3.460200105812987
seasonal_naive,0.2083333333333333,-0.15393209409113617,0.0,0.7608290007337928,0.0,0,4.697252461358992,89.06430909658403,9.437388891880213,2.5962616677014747,14.431089257632276,3.798827352964632
random_permutation,0.0833333333333333,-0.21492311859818658,0.0,0.7531912915874273,0.0,0,5.68674658521496,98.72810265513868,9.936201621099416,3.6177139064228094,21.874245700339095,4.67699109474661
factor_pca_qd,0.0416666666666666,-0.6195242435617736,0.0,1.015549708274193,0.0,0,5.778644645348069,175.43575310219973,13.245216234633531,2.8424570667483047,22.40435458567785,4.733323841200584
random_uniform,0.0,-0.4538057634981618,0.0,0.756048581795767,0.0,0,7.960962035210526,141.36958100967155,11.889894070582445,5.838056763185028,51.48795618820777,7.1755108660086195
