model_name,win_rate,skill_score,median_training_time_s,median_inference_time_s,training_corpus_overlap,num_failures
local_trend_ssm,1.0,0.2532431136657213,0.0,12.827136289561167,0.0,0
mean,0.9375,0.24935764350922407,0.0,0.5439867093227804,0.0,0
auto_arima,0.8541666666666666,0.23761090833167753,0.0,45.53361345571466,0.0,0
random_forest,0.8333333333333333,0.23837102300455482,0.0,12.225842794170603,0.0,0
bvar_minnesota_8,0.7291666666666666,0.22797331890617845,0.0,1.1579210065538064,0.0,0
bvar_minnesota_growth_8,0.6666666666666666,0.22796413672262117,0.0,1.1966939193662256,0.0,0
xgboost,0.6458333333333333,0.22362209792283372,0.0,128.08196578989737,0.0,0
theta,0.5833333333333334,0.21221135089737464,0.0,1.1177494237199426,0.0,0
chronos2,0.5,0.19330575553933016,0.0,70.34204604267143,0.0,0
mixed_freq_dfm_md,0.4375,0.18836624495476395,0.0,0.9108845829032362,0.0,0
bvar_minnesota_20,0.35416666666666663,0.18365536740289123,0.0,1.5093037488404661,0.0,0
auto_ets,0.29166666666666663,0.18331474082561938,0.0,3.34354070876725,0.0,0
bvar_minnesota_growth_20,0.29166666666666663,0.18360420252490262,0.0,1.354328079149127,0.0,0
factor_pca_qd,0.1875,0.09945583234961519,0.0,2.0774080868577585,0.0,0
naive_last,0.125,0.0,0.0,0.5125099624274299,0.0,0
drift,0.0625,-0.0017593289059667505,0.0,0.5069223314058036,0.0,0
seasonal_naive,0.0,-0.16292142672466658,0.0,0.49858733371365815,0.0,0
